source_document,chunk_id,text_chunk
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_1,"1 THE CODE OF CRIMINAL PROCEDURE, 1973 ________ ARRANGEMENT OF SECTIONS ________ CHAPTER I PRELIMINARY SECTIONS 1. Short title, extent and commencement. 2. Definitions. 3. Construction of references. 4. Trial of offences under the Indian Penal Code and other laws. 5. Saving. CHAPTER II CONSTITUTION OF CRIMINAL COURTS AND OFFICES 6. Classes of Criminal Courts. 7. Territorial divisions. 8. Metropolitan areas. 9. Court of Session. 10. Subordination of Assistant Sessions Judges. 11. Courts of Judicial Magistrates. 12. Chief Judicial Magistrate and Additional Chief Judicial Magistrate, etc. 13. Special Judicial Magistrates. 14. Local jurisdiction of Judicial Magistrates. 15. Subordination of Judicial Magistrates. 16. Courts of Metropolitan Magistrates. 17. Chief Metropolitan Magistrate and Additional Chief Metropolitan Magistrate. 18. Special Metropolitan Magistrates. 19. Subordination of Metropolitan Magistrates. 20. Executive Magistrates. 21. Special Executive Magistrates. 22. Local"
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_2,Additional Chief Metropolitan Magistrate. 18. Special Metropolitan Magistrates. 19. Subordination of Metropolitan Magistrates. 20. Executive Magistrates. 21. Special Executive Magistrates. 22. Local Jurisdiction of Executive Magistrates. 23. Subordination of Executive Magistrates. 24. Public Prosecutors. 25. Assistant Public Prosecutors. 25A. Directorate of Prosecution. CHAPTER III POWER OF COURTS 26. Courts by which offences are triable. 27. Jurisdiction in the case of juveniles. 28. Sentences which High Courts and Sessions Judges may pass. 29. Sentences which Magistrates may pass. 30. Sentence of imprisonment in default of fine. 31. Sentence in cases of conviction of several offences at one trial. 32. Mode of conferring powers. 33. Powers of officers appointed. 34. Withdrawal of powers. 35. Powers of Judges and Magistrates exercisable by their successors-in-office. CHAPTER IV A.–POWERS OF SUPERIOR OFFICERS OF POLICE 36. Powers of superior officers of police. B.–AID TO THE
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_3,"of powers. 35. Powers of Judges and Magistrates exercisable by their successors-in-office. CHAPTER IV A.–POWERS OF SUPERIOR OFFICERS OF POLICE 36. Powers of superior officers of police. B.–AID TO THE MAGISTRATES AND THE POLICE 37. Public when to assist Magistrates and police. 38. Aid to person, other than police officer, executing warrant. 39. Public to give information of certain offences. 40. Duty of officers employed, in connection with the affairs of a village to make certain report. CHAPTER V ARREST OF PERSONS 41. When police may arrest without warrant. 41A. Notice of appearance before police officer. 41B. Procedure of arrest and duties of officer making arrest. 41C. Control room at districts. 41D. Right of arrested person to meet an advocate of his choice during interrogation. 42. Arrest on refusal to give name and residence. 43. Arrest by private person and procedure on such arrest. 44. Arrest by Magistrate. 45. Protection of members of the Armed Forces from arrest. 46. Arrest"
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_4,"on refusal to give name and residence. 43. Arrest by private person and procedure on such arrest. 44. Arrest by Magistrate. 45. Protection of members of the Armed Forces from arrest. 46. Arrest how made. 47. Search of place entered by person sought to be arrested. 48. Pursuit of offenders into other jurisdictions. 49. No unnecessary restraint. 50. Person arrested to be informed of grounds of arrest and of right to bail. 50A. Obligation of person making arrest to inform about the arrest, etc., to a nominated person. 51. Search of arrested person. 52. Power to seize offensive weapons. 53. Examination of accused by medical practitioner at the request of police officer. 53A. Examination of person accused of rape by medical practitioner. 54. Examination of arrested person by medical officer. 54A. Identification of person arrested. 55. Procedure when police officer deputes subordinate to arrest without warrant. 55A. Health and safety of arrested person. 56. Person arrested to be taken"
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_5,"54A. Identification of person arrested. 55. Procedure when police officer deputes subordinate to arrest without warrant. 55A. Health and safety of arrested person. 56. Person arrested to be taken before Magistrate or officer in charge of police station. 57. Person arrested not to be detained more than twenty-four hours. 58. Police to report apprehensions. 59. Discharge of person apprehended. 60. Power, on escape, to pursue and retake. 60A. Arrest to be made strictly according to the Code. CHAPTER VI PROCESSES TO COMPEL APPEARANCE A.–Summons 61. Form of summons. 62. Summons how served. 63. Service of summons on corporate bodies and societies. 64. Service when persons summoned cannot be found. 65. Procedure when service cannot be effected as before provided. 66. Service on Government servant. 67. Service of summons outside local limits. 68. Proof of service in such cases and when serving officer not present. 69. Service of summons on witness by post. B.–Warrant of arrest 70. Form of"
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_6,"67. Service of summons outside local limits. 68. Proof of service in such cases and when serving officer not present. 69. Service of summons on witness by post. B.–Warrant of arrest 70. Form of warrant of arrest and duration. 71. Power to direct security to be taken. 72. Warrants to whom directed. 73. Warrant may be directed to any person. 74. Warrant directed to police officer. 75. Notification of substance of warrant. 76. Person arrested to be brought before Court without delay. 77. Where warrant may be executed. 78. Warrant forwarded for execution outside jurisdiction. 79. Warrant directed to police officer for execution outside jurisdiction. 80. Procedure on arrest of person against whom warrant issued. 81. Procedure by Magistrate before whom such person arrested is brought. C.–Proclamation and attachment 82. Proclamation for person absconding. 83. Attachment of property of person absconding. 84. Claims and objections to attachment. 85. Release, sale and restoration of attached"
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_7,"and attachment 82. Proclamation for person absconding. 83. Attachment of property of person absconding. 84. Claims and objections to attachment. 85. Release, sale and restoration of attached property. 86. Appeal from order rejecting application for restoration of attached property. D.–Other rules regarding processes 87. Issue of warrant in lieu of, or in addition to, summons. 88. Power to take bond for appearance. 89. Arrest on breach of bond for appearance. 90. Provisions of this Chapter generally applicable to summonses and warrants of arrest. CHAPTER VII PROCESSES TO COMPEL THE PRODUCTION OF THINGS A.–Summons to produce 91. Summons to produce document or other thing. 92. Procedure as to letters and telegrams. B.–Search-warrants 93. When search-warrant may be issued. 94. Search of place suspected to contain stolen property, forged documents, etc. 95. Power to declare certain publications forfeited and to issue search-warrants for the same. 96. Application to High Court to set aside"
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_8,"suspected to contain stolen property, forged documents, etc. 95. Power to declare certain publications forfeited and to issue search-warrants for the same. 96. Application to High Court to set aside declaration of forfeiture. 97. Search for persons wrongfully confined. 98. Power to compel restoration of abducted females. C.–General provisions relating to searches 99. Direction, etc., of search-warrants. 100. Persons in charge of closed place to allow search. 101. Disposal of things found in search beyond jurisdiction. D.–Miscellaneous 102. Power of police officer to seize certain property. 103. Magistrate may direct search in his presence. 104. Power to impound document, etc., produced. 105. Reciprocal arrangements regarding processes. CHAPTER VIIA RECIPROCAL ARRANGEMENTS FOR ASSISTANCE IN CERTAIN MATTERS AND PROCEDURE FOR ATTACHMENT AND FORFEITURE OF PROPERTY 105A. Definitions. 105B. Assistance in securing transfer of persons. 105C. Assistance in relation to orders of attachment or"
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_9,IN CERTAIN MATTERS AND PROCEDURE FOR ATTACHMENT AND FORFEITURE OF PROPERTY 105A. Definitions. 105B. Assistance in securing transfer of persons. 105C. Assistance in relation to orders of attachment or forfeiture of property. 105D. Identifying unlawfully acquired property. 105E. Seizure or attachment of property. 105F. Management of properties seized or forfeited under this Chapter. 105G. Notice of forfeiture of property. 105H. Forfeiture of property in certain cases. 105-I. Fine in lieu of forfeiture. 105J. Certain transfers to be null and void. 105K. Procedure in respect of letter of request. 105L. Application of this Chapter. CHAPTER VIII SECURITY FOR KEEPING THE PEACE AND FOR GOOD BEHAVIOUR 106. Security for keeping the peace on conviction. 107. Security for keeping the peace in other cases. 108. Security for good behaviour from persons disseminating seditious matters. 109. Security for good behaviour from suspected persons. 110. Security for good behaviour from habitual offenders.
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_10,"108. Security for good behaviour from persons disseminating seditious matters. 109. Security for good behaviour from suspected persons. 110. Security for good behaviour from habitual offenders. 111. Order to be made. 112. Procedure in respect of person present in Court. 113. Summons or warrant in case of person not so present. 114. Copy of order to accompany summons or warrant. 115. Power to dispense with personal attendance. 116. Inquiry as to truth of information. 117. Order to give security. 118. Discharge of person informed against. 119. Commencement of period for which security is required. 120. Contents of bond. 121. Power to reject sureties. 122. Imprisonment in default of security. 123. Power to release persons imprisoned for failing to give security. 124. Security for unexpired period of bond. CHAPTER IX ORDER FOR MAINTENANCE OF WIVES, CHILDREN AND PARENTS 125. Order for maintenance of wives, children and parents. 126. Procedure. 127. Alteration in allowance. 128. Enforcement"
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_11,"of bond. CHAPTER IX ORDER FOR MAINTENANCE OF WIVES, CHILDREN AND PARENTS 125. Order for maintenance of wives, children and parents. 126. Procedure. 127. Alteration in allowance. 128. Enforcement of order of maintenance. 6 CHAPTER X MAINTENANCE OF PUBLIC ORDER AND TRANQUILLITY A.–Unlawful assemblies SECTIONS 129. Dispersal of assembly by use of civil force. 130. Use of armed forces to disperse assembly. 131. Power of certain armed force officers to disperse assembly. 132. Protection against prosecution for acts done under preceding sections. B.–Public nuisances 133. Conditional order for removal of nuisance. 134. Service or notification of order. 135. Person to whom order is addressed to obey or show cause. 136. Consequences of his failing to do so. 137. Procedure where existence of public right is denied. 138. Procedure where he appears to show cause. 139. Power of Magistrate to direct local investigation and examination of an expert. 140. Power of Magistrate to furnish written"
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_12,"public right is denied. 138. Procedure where he appears to show cause. 139. Power of Magistrate to direct local investigation and examination of an expert. 140. Power of Magistrate to furnish written instructions, etc. 141. Procedure on order being made absolute and consequences of disobedience. 142. Injunction pending inquiry. 143. Magistrate may prohibit repetition or continuance of public nuisance. C.–Urgent cases of nuisance or apprehended danger 144. Power to issue order in urgent cases of nuisance or apprehended danger. 144A.Power to prohibit carrying arms in procession or mass drill or mass training with arms. D.–Disputes as to immovable property 145. Procedure where dispute concerning land or water is likely to cause breach of peace. 146. Power to attach subject of dispute and to appoint receiver. 147. Dispute concerning right of use of land or water. 148. Local inquiry. CHAPTER XI PREVENTIVE ACTION OF THE POLICE 149. Police to prevent cognizable offences. 150. Information of"
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_13,appoint receiver. 147. Dispute concerning right of use of land or water. 148. Local inquiry. CHAPTER XI PREVENTIVE ACTION OF THE POLICE 149. Police to prevent cognizable offences. 150. Information of design to commit cognizable offences. 151. Arrest to prevent the commission of cognizable offences. 152. Prevention of injury to public property. 153. Inspection of weights and measures. CHAPTER XII INFORMATION TO THE POLICE AND THEIR POWERS TO INVESTIGATE 154. Information in cognizable cases. 155. Information as to non-cognizable cases and investigation of such cases. 156. Police officer’s power to investigate cognizable case. 157. Procedure for investigation. 158. Report how submitted. 159. Power to hold investigation or preliminary inquiry. 160. Police officer’s power to require attendance of witnesses. 161. Examination of witnesses by police. 162. Statements to police not to be signed: Use of statements in evidence. 163. No inducement to be offered. 164. Recording of confessions and
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_14,"of witnesses. 161. Examination of witnesses by police. 162. Statements to police not to be signed: Use of statements in evidence. 163. No inducement to be offered. 164. Recording of confessions and statements. 164A. Medical examination of the victim of rape. 165. Search by police officer. 166. When officer in charge of police station may require another to issue search-warrant. 166A. Letter of request to competent authority for investigation in a country or place outside India. 166B. Letter of request from a country or place outside India to a Court or an authority for investigation in India. 167. Procedure when investigation cannot be completed in twenty-four hours. 168. Report of investigation by subordinate police officer. 169. Release of accused when evidence deficient. 170. Cases to be sent to Magistrate, when evidence is sufficient. 171. Complainant and witnesses not to be required to accompany police officer and not to be subjected to restraint. 172. Diary of proceedings in"
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_15,"to be sent to Magistrate, when evidence is sufficient. 171. Complainant and witnesses not to be required to accompany police officer and not to be subjected to restraint. 172. Diary of proceedings in investigation. 173. Report of police officer on completion of investigation. 174. Police to enquire and report on suicide, etc. 175. Power to summon persons. 176. Inquiry by Magistrate into cause of death. CHAPTER XIII JURISDICTION OF THE CRIMINAL COURTS IN INQUIRIES AND TRIALS 177. Ordinary place of inquiry and trial. 178. Place of inquiry or trial. 179. Offence triable where act is done or consequence ensues. 180. Place of trial where act is an offence by reason of relation to other offence. 181. Place of trial in case of certain offences. 182. Offences committed by letters, etc. 183. Offence committed on journey or voyage. 184. Place of trial for offences triable together. 185. Power to order cases to be tried in different sessions divisions. 186. High Court to decide, in case of"
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_16,"Offence committed on journey or voyage. 184. Place of trial for offences triable together. 185. Power to order cases to be tried in different sessions divisions. 186. High Court to decide, in case of doubt, district where inquiry or trial shall take place. 187. Power to issue summons or warrant for offence committed beyond local jurisdiction. 188. Offence committed outside India. 189. Receipt of evidence relating to offences committed outside India. CHAPTER XIV CONDITIONS REQUISITE FOR INITIATION OF PROCEEDINGS 190. Cognizance of offences by Magistrates. 191. Transfer on application of the accused. 192. Making over of cases to Magistrates. 193. Cognizance of offences by Courts of Session. 194. Additional and Assistant Sessions Judges to try cases made over to them. 195. Prosecution for contempt of lawful authority of public servants, for offences against public justice and for offences relating to documents given in evidence. 195A. Procedure for witnesses in case of threatening, etc."
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_17,"of lawful authority of public servants, for offences against public justice and for offences relating to documents given in evidence. 195A. Procedure for witnesses in case of threatening, etc. 196. Prosecution for offences against the State and for criminal conspiracy to commit such offence. 197. Prosecution of Judges and public servants. 198. Prosecution for offences against marriage. 198A. Prosecution of offences under section 498A of the Indian Penal Code. 198B. Cognizance of offence. 199. Prosecution for defamation. CHAPTER XV COMPLAINTS TO MAGISTRATES 200. Examination of complainant. 201. Procedure by Magistrate not competent to take cognizance of the case. 202. Postponement of issue of process. 203. Dismissal of complaint. CHAPTER XVI COMMENCEMENT OF PROCEEDINGS BEFORE MAGISTRATES 204. Issue of process. 205. Magistrate may dispense with personal attendance of accused. 206. Special summons in cases of petty offence. 207. Supply to the accused of copy of police report and other"
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_18,"204. Issue of process. 205. Magistrate may dispense with personal attendance of accused. 206. Special summons in cases of petty offence. 207. Supply to the accused of copy of police report and other documents. 208. Supply of copies of statements and documents to accused in other cases triable by Court of Session. 209. Commitment of case to Court of Session when offence is triable exclusively by it. 210. Procedure to be followed when there is a complaint case and police investigation in respect of the same offence. CHAPTER XVII THE CHARGE A.–Form of charges 211. Contents of charge. 212. Particulars as to time, place and person. 213. When manner of committing offence must be stated. 214. Words in charge taken in sense of law under which offence is punishable. 215. Effect of errors. 216. Court may alter charge. 217. Recall of witnesses when charge altered. B.–Joinder of charges 218. Separate charges for distinct offences. 219. Three offences of same kind within year may be charged"
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_19,Court may alter charge. 217. Recall of witnesses when charge altered. B.–Joinder of charges 218. Separate charges for distinct offences. 219. Three offences of same kind within year may be charged together. 220. Trial for more than one offence. 221. Where it is doubtful what offence has been committed. 222. When offence proved included in offence charged. 223. What persons may be charged jointly. 224. Withdrawal of remaining charges on conviction on one of several charges. CHAPTER XVIII TRIAL BEFORE A COURT OF SESSION 225. Trial to be conducted by Public Prosecutor. 226. Opening case for prosecution. 227. Discharge. 228. Framing of charge. 229. Conviction on plea of guilty. 230. Date for prosecution evidence. 231. Evidence for prosecution. 232. Acquittal. 233. Entering upon defence. 234. Arguments. 235. Judgment of acquittal or conviction. 236. Previous conviction. 237. Procedure in cases instituted under section 199(2). CHAPTER XIX TRIAL OF WARRANT-CASES BY MAGISTRATES A.–Cases
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_20,234. Arguments. 235. Judgment of acquittal or conviction. 236. Previous conviction. 237. Procedure in cases instituted under section 199(2). CHAPTER XIX TRIAL OF WARRANT-CASES BY MAGISTRATES A.–Cases instituted on a police report 238. Compliance with section 207. 239. When accused shall be discharged. 240. Framing of charge. 241. Conviction on plea of guilty. 242. Evidence for prosecution. 243. Evidence for defence. B.–Cases instituted otherwise than on police report 244. Evidence for prosecution. 245. When accused shall be discharged. 246. Procedure where accused is not discharged. 247. Evidence for defence. C.–Conclusion of trial 248. Acquittal or conviction. 249. Absence of complainant. 250. Compensation for accusation without reasonable cause. CHAPTER XX TRIAL OF SUMMONS-CASES BY MAGISTRATES 251. Substance of accusation to be stated. 252. Conviction on plea of guilty. 253. Conviction on plea of guilty in absence of accused in petty cases. 254. Procedure when not convicted. 255.
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_21,251. Substance of accusation to be stated. 252. Conviction on plea of guilty. 253. Conviction on plea of guilty in absence of accused in petty cases. 254. Procedure when not convicted. 255. Acquittal or conviction. 256. Non-appearance or death of complainant. 257. Withdrawal of complaint. 258. Power to stop proceedings in certain cases. 259. Power of Court to convert summons-cases into warrant-cases. CHAPTER XXI SUMMARY TRIALS 260. Power to try summarily. 261. Summary trial by Magistrate of the second class. 262. Procedure for summary trials. 263. Record in summary trials. 264. Judgment in cases tried summarily. 265. Language of record and judgment. CHAPTER XXIA PLEA BARGAINING 265A. Application of the Chapter. 265B. Application for plea bargaining. 265C. Guidelines for mutually satisfactory disposition. 265D. Report of the mutually satisfactory disposition to be submitted before the Court. 265E. Disposal of the case. 265F. Judgment of the Court. 265G. Finality of the judgment. 265H.
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_22,disposition. 265D. Report of the mutually satisfactory disposition to be submitted before the Court. 265E. Disposal of the case. 265F. Judgment of the Court. 265G. Finality of the judgment. 265H. Power of the Court in plea bargaining. 265-I. Period of detention undergone by the accused to be set-off against the sentence of imprisonment. 265J. Savings. 265K. Statements of accused not to be used. 265L. Non-application of the Chapter. CHAPTER XXII ATTENDANCE OF PERSONS CONFINED OR DETAINED IN PRISONS 266. Definitions. 267. Power to require attendance of prisoners. 268. Power of State Government to exclude certain persons from operation of section 267. 269. Officer in charge of prison to abstain from carrying out order in certain contingencies. 270. Prisoner to be brought to Court in custody. 271. Power to issue commission for examination of witness in prison. CHAPTER XXIII EVIDENCE IN INQUIRIES AND TRIALS A.–Mode of taking and recording evidence 272. Language of Courts. 273. Evidence to
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_23,271. Power to issue commission for examination of witness in prison. CHAPTER XXIII EVIDENCE IN INQUIRIES AND TRIALS A.–Mode of taking and recording evidence 272. Language of Courts. 273. Evidence to be taken in presence of accused. 274. Record in summons-cases and inquiries. 275. Record in warrant-cases. 276. Record in trial before Court of Session. 277. Language of record of evidence. 278. Procedure in regard to such evidence when completed. 279. Interpretation of evidence to accused or his pleader. 280. Remarks respecting demeanour of witness. 281. Record of examination of accused. 282. Interpreter to be bound to interpret truthfully. 283. Record in High Court. B.–Commissions for the examination of witnesses 284. When attendance of witness may be dispensed with and commission issued. 285. Commission to whom to be issued. 286. Execution of commissions. 287. Parties may examine witnesses. 288. Return of commission. 289. Adjournment of proceeding. 290. Execution of foreign commissions.
raw/Legal_Corpus/Code_of_Criminal_Procedure_1973.pdf,Code_of_Criminal_Procedure_1973.pdf_chunk_24,Commission to whom to be issued. 286. Execution of commissions. 287. Parties may examine witnesses. 288. Return of commission. 289. Adjournment of proceeding. 290. Execution of foreign commissions. 291. Deposition of medical witness. 291A. Identification report of Magistrate. 292. Evidence of officers of the Mint. 293. Reports of certain Government scientific experts. 294. No formal proof of certain documents. 295. Affidavit in proof of conduct of public servants. 296. Evidence of formal character on affidavit. 297. Authorities before whom affidavits may be sworn. 298. Previous conviction or acquittal how proved. 299. Record of evidence in absence of accused. CHAPTER XXIV GENERAL PROVISIONS AS TO INQUIRIES AND TRIALS 300. Person once convicted or acquitted not to be tried for same offence. 301. Appearance by Public Prosecutors. 302. Permission to conduct prosecution. 303. Right of person against whom proceedings are instituted to be defended. 304. Legal aid to accused at State expense
